time,0,0.5,5
right_leg_motor_0,0,0,0
left_leg_motor_0,0,0,0
right_leg_motor_1,0,0,0
left_leg_motor_1,0,0,0
right_leg_motor_2,0.564,0.564,0.564
left_leg_motor_2,0.564,0.564,0.564
right_leg_motor_3,-1.176,-2.5,-1.176
left_leg_motor_3,-1.176,-1.176,-1.176
right_leg_motor_4,0.613,1.2,0.613
left_leg_motor_4,0.613,0.613,0.613
right_leg_motor_5,0,0,0
left_leg_motor_5,0,0,0
right_arm_motor_0,3.14,3.14,3.14
left_arm_motor_0,3.14,3.14,3.14
right_arm_motor_1,0,0,0
left_arm_motor_1,0,0,0
head_motor_0,0,0,0
head_motor_1,0,0,0
