time,0,3,7,7.6,8.2
right_leg_motor_0,0,0,0,0,0
left_leg_motor_0,0,0,0,0,0
right_leg_motor_1,0,0,-0.2,0.2,-0.2
left_leg_motor_1,0,0,0.2,0.2,0.2
right_leg_motor_2,0,0,1.2,1.57,1.57
left_leg_motor_2,0,0,1.2,0,1.57
right_leg_motor_3,0,0,0,0,0
left_leg_motor_3,0,0,0,0,0
right_leg_motor_4,0,0,0,0,0
left_leg_motor_4,0,0,0,0,0
right_leg_motor_5,0,0,0,0,0
left_leg_motor_5,0,0,0,0,0
right_arm_motor_0,0,-1,-1.9,-1.57,-0.5
left_arm_motor_0,0,-1,-1.9,0.6,-1.57
right_arm_motor_1,0,2,0,0,0
left_arm_motor_1,0,2,0,0,0
head_motor_0,0,0,0,0,0
head_motor_1,0,0,0,0,0
