time,0,0.75,1.5,2.25,3,3.75,4.5,5.25,6,6.75,7.5,8.25,9,9.75,10.5,11.25,12,12.75,13.5
right_leg_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_leg_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.05
left_leg_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.05
right_leg_motor_2,0,0,0,0,0,1,1.5,1.5,1.5,1.8,1.8,1.8,1.8,1.8,1.5,1.2,0.9,0.75,0.6
left_leg_motor_2,0,0,0,0,0,1,1.5,1.5,1.5,1.8,1.8,1.8,1.8,1.8,1.5,1.2,0.9,0.75,0.6
right_leg_motor_3,0,0,0,0,0,-1,-1.3,-1.3,-1.3,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.5,-1.2,-1.3,-1.4
left_leg_motor_3,0,0,0,0,0,-1,-1.3,-1.3,-1.3,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.5,-1.2,-1.3,-1.4
right_leg_motor_4,0,0,0,0,1.1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.9,0.6,0.6,0.5,0.46,0.6,0.8
left_leg_motor_4,0,0,0,0,1.1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.9,0.6,0.6,0.5,0.46,0.6,0.8
right_leg_motor_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
left_leg_motor_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
right_arm_motor_0,0,-1.5,0,1.5,1.5,1.5,1.5,1,0.7,0.2,-0.5,0,0.3,0.8,0.7,0.6,0.5,0.6,0.75
left_arm_motor_0,0,-1.5,0,1.5,1.5,1.5,1.5,1,0.7,0.2,-0.5,0,0.3,0.8,0.7,0.6,0.5,0.6,0.75
right_arm_motor_1,0,2.5,3,1.5,2,2,2,2.3,2.5,2.8,2.6,2.6,1.3,0,0,0,0,0,0
left_arm_motor_1,0,2.5,3,1.5,2,2,2,2.3,2.5,2.8,2.6,2.6,1.3,0,0,0,0,0,0
